PassengerId,Survived,Pclass,SibSp,Parch,SexUpd,Rels,EmbarkedN,CabinN,AgeN,Fare
540,1,1,0,2,1,2,0,1,22,49.5
84,0,1,0,0,0,0,1,6,28,47.1
60,0,3,5,2,0,7,1,6,11,46.9
72,0,3,5,2,1,7,1,6,16,46.9
387,0,3,5,2,0,7,1,6,1,46.9
481,0,3,5,2,0,7,1,6,9,46.9
679,0,3,1,6,1,7,1,6,43,46.9
684,0,3,5,2,0,7,1,6,14,46.9
603,0,1,0,0,0,0,1,6,1,42.4
44,1,2,1,2,1,3,0,6,3,41.5792
609,1,2,1,2,1,3,0,6,22,41.5792
686,0,2,1,2,0,3,0,6,25,41.5792
584,0,1,0,0,0,0,0,0,36,40.125
51,0,3,4,1,0,5,1,6,7,39.6875
165,0,3,4,1,0,5,1,6,1,39.6875
267,0,3,4,1,0,5,1,6,16,39.6875
639,0,3,0,5,1,5,1,6,41,39.6875
687,0,3,4,1,0,5,1,6,14,39.6875
825,0,3,4,1,0,5,1,6,2,39.6875
557,1,1,1,0,1,1,0,0,48,39.6
767,0,1,0,0,0,0,0,6,1,39.6
854,1,1,0,1,1,1,1,3,16,39.4
184,1,2,2,1,0,3,1,5,1,39
619,1,2,2,1,1,3,1,5,4,39
671,1,2,1,1,1,2,1,6,40,39
685,0,2,1,1,0,2,1,6,60,39
463,0,1,0,0,0,0,1,4,47,38.5
818,0,2,1,1,0,2,0,6,31,37.0042
828,1,2,0,2,0,2,0,6,1,37.0042
146,0,2,1,1,0,2,1,6,19,36.75
550,1,2,1,1,0,2,1,6,8,36.75
24,1,1,0,0,0,0,1,0,28,35.5
56,1,1,0,0,0,0,1,2,1,35.5
340,0,1,0,0,0,0,1,6,45,35.5
648,1,1,0,0,0,0,0,0,56,35.5
352,0,1,0,0,0,0,1,2,1,35
97,0,1,0,0,0,0,0,0,71,34.6542
87,0,3,1,3,0,4,1,6,16,34.375
148,0,3,2,2,1,4,1,6,9,34.375
437,0,3,2,2,1,4,1,6,21,34.375
737,0,3,1,3,1,4,1,6,48,34.375
516,0,1,0,0,0,0,1,3,47,34.0208
171,0,1,0,0,0,0,1,1,61,33.5
597,1,2,0,0,1,0,1,6,1,33
721,1,2,0,1,1,1,1,6,6,33
849,0,2,0,1,0,1,1,6,28,33
417,1,2,1,1,1,2,1,6,34,32.5
626,0,1,0,0,0,0,1,3,61,32.3208
26,1,3,1,5,1,6,1,6,38,31.3875
183,0,3,4,2,0,6,1,6,9,31.3875
234,1,3,4,2,1,6,1,6,5,31.3875
262,1,3,4,2,0,6,1,6,3,31.3875
14,0,3,1,5,0,6,1,6,39,31.275
120,0,3,4,2,1,6,1,6,2,31.275
542,0,3,4,2,1,6,1,6,9,31.275
543,0,3,4,2,1,6,1,6,11,31.275
611,0,3,1,5,1,6,1,6,39,31.275
814,0,3,4,2,1,6,1,6,6,31.275
851,0,3,4,2,0,6,1,6,4,31.275
210,1,1,0,0,0,0,0,0,40,31
271,0,1,0,0,0,0,1,6,1,31
843,1,1,0,0,1,0,0,6,30,31
175,0,1,0,0,0,0,0,0,56,30.6958
794,0,1,0,0,0,0,0,6,1,30.6958
299,1,1,0,0,0,0,1,2,1,30.5
450,1,1,0,0,0,0,1,2,52,30.5
493,0,1,0,0,0,0,1,2,55,30.5
608,1,1,0,0,0,0,1,6,27,30.5
633,1,1,0,0,0,0,0,1,32,30.5
10,1,2,1,0,1,1,0,6,14,30.0708
123,0,2,1,0,0,1,0,6,32.5,30.0708
581,1,2,1,1,1,2,1,6,25,30
631,1,1,0,0,0,0,1,0,80,30
741,1,1,0,0,0,0,1,3,1,30
783,0,1,0,0,0,0,1,3,29,30
888,1,1,0,0,1,0,1,1,19,30
890,1,1,0,0,0,0,0,2,26,30
274,0,1,0,1,0,1,0,2,37,29.7
488,0,1,0,0,0,0,0,1,58,29.7
840,1,1,0,0,0,0,0,2,1,29.7
17,0,3,4,1,0,5,2,6,2,29.125
172,0,3,4,1,0,5,2,6,4,29.125
279,0,3,4,1,0,5,2,6,7,29.125
788,0,3,4,1,0,5,2,6,8,29.125
886,0,3,0,5,1,5,2,6,39,29.125
79,1,2,0,2,0,2,1,6,1,29
324,1,2,1,1,1,2,1,6,22,29
178,0,1,0,0,1,0,0,2,50,28.7125
332,0,1,0,0,0,0,1,2,45.5,28.5
64,0,3,3,2,0,5,1,6,4,27.9
168,0,3,1,4,1,5,1,6,45,27.9
361,0,3,1,4,0,5,1,6,40,27.9
635,0,3,3,2,1,5,1,6,9,27.9
643,0,3,3,2,1,5,1,6,2,27.9
820,0,3,3,2,0,5,1,6,10,27.9
59,1,2,1,2,1,3,1,6,5,27.75
451,0,2,1,2,0,3,1,6,36,27.75
453,0,1,0,0,0,0,0,2,30,27.75
473,1,2,1,2,1,3,1,6,33,27.75
31,0,1,0,0,0,0,0,6,40,27.7208
65,0,1,0,0,0,0,0,6,1,27.7208
195,1,1,0,0,1,0,0,1,44,27.7208
296,0,1,0,0,0,0,0,6,1,27.7208
362,0,2,1,0,0,1,0,6,29,27.7208
218,0,2,1,0,0,1,1,6,42,27
601,1,2,2,1,1,3,1,6,24,27
12,1,1,0,0,1,0,1,2,58,26.55
188,1,1,0,0,0,0,1,6,45,26.55
253,0,1,0,0,0,0,1,2,62,26.55
431,1,1,0,0,0,0,1,2,28,26.55
448,1,1,0,0,0,0,1,6,34,26.55
457,0,1,0,0,0,0,1,4,65,26.55
461,1,1,0,0,0,0,1,4,48,26.55
468,0,1,0,0,0,0,1,6,56,26.55
508,1,1,0,0,0,0,1,6,1,26.55
537,0,1,0,0,0,0,1,1,45,26.55
556,0,1,0,0,0,0,1,6,62,26.55
605,1,1,0,0,0,0,0,6,35,26.55
695,0,1,0,0,0,0,1,6,60,26.55
712,0,1,0,0,0,0,1,2,1,26.55
858,1,1,0,0,0,0,1,4,51,26.55
573,1,1,0,0,0,0,1,4,36,26.3875
513,1,1,0,0,0,0,1,4,36,26.2875
702,1,1,0,0,0,0,1,4,35,26.2875
708,1,1,0,0,0,0,1,4,42,26.2875
137,1,1,0,2,1,2,1,3,19,26.2833
238,1,2,0,2,1,2,1,6,8,26.25
315,0,2,1,1,0,2,1,6,43,26.25
441,1,2,1,1,1,2,1,6,45,26.25
536,1,2,0,2,1,2,1,6,7,26.25
638,0,2,1,1,0,2,1,6,31,26.25
802,1,2,1,1,1,2,1,6,31,26.25
21,0,2,0,0,0,0,1,6,35,26
54,1,2,1,0,1,1,1,6,29,26
100,0,2,1,0,0,1,1,6,34,26
134,1,2,1,0,1,1,1,6,29,26
149,0,2,0,2,0,2,1,5,36.5,26
194,1,2,1,1,0,2,1,5,3,26
237,0,2,1,0,0,1,1,6,44,26
250,0,2,1,0,0,1,1,6,54,26
260,1,2,0,1,1,1,1,6,50,26
285,0,1,0,0,0,0,1,0,1,26
313,0,2,1,1,1,2,1,6,26,26
317,1,2,1,0,1,1,1,6,24,26
341,1,2,1,1,0,2,1,5,2,26
398,0,2,0,0,0,0,1,6,46,26
427,1,2,1,0,1,1,1,6,28,26
428,1,2,0,0,1,0,1,6,19,26
433,1,2,1,0,1,1,1,6,42,26
507,1,2,0,2,1,2,1,6,33,26
519,1,2,1,0,1,1,1,6,36,26
531,1,2,1,1,1,2,1,6,2,26
544,1,2,1,0,0,1,1,6,32,26
546,0,1,0,0,0,0,1,6,64,26
547,1,2,1,0,1,1,1,6,19,26
552,0,2,0,0,0,0,1,6,27,26
583,0,2,0,0,0,0,1,6,54,26
595,0,2,1,0,0,1,1,6,37,26
706,0,2,0,0,0,0,1,6,39,26
729,0,2,1,0,0,1,1,6,25,26
792,0,2,0,0,0,0,1,6,16,26
855,0,2,1,0,1,1,1,6,44,26
881,1,2,0,1,1,1,1,6,25,26
797,1,1,0,0,1,0,1,3,49,25.9292
863,1,1,0,0,1,0,1,3,48,25.9292
169,0,1,0,0,0,0,1,6,1,25.925
663,0,1,0,0,0,0,1,4,47,25.5875
177,0,3,3,1,0,4,1,6,1,25.4667
230,0,3,3,1,1,4,1,6,1,25.4667
410,0,3,3,1,1,4,1,6,1,25.4667
486,0,3,3,1,1,4,1,6,1,25.4667
110,1,3,1,0,1,1,2,6,1,24.15
420,0,3,0,2,1,2,1,6,10,24.15
518,0,3,0,0,0,0,2,6,1,24.15
566,0,3,2,0,0,2,1,6,24,24.15
596,0,3,1,1,0,2,1,6,36,24.15
769,0,3,1,0,0,1,2,6,1,24.15
800,0,3,1,1,1,2,1,6,30,24.15
812,0,3,0,0,0,0,1,6,39,24.15
309,0,2,1,0,0,1,0,6,30,24
875,1,2,1,0,1,1,0,6,28,24
784,0,3,1,2,0,3,1,6,1,23.45
889,0,3,1,2,1,3,1,6,1,23.45
302,1,3,2,0,0,2,2,6,1,23.25
331,1,3,2,0,1,2,2,6,1,23.25
99,1,2,0,1,1,1,1,6,34,23
652,1,2,0,1,1,1,1,6,18,23
751,1,2,1,1,1,2,1,6,4,23
775,1,2,1,3,1,4,1,6,54,23
509,0,3,0,0,0,0,1,6,28,22.525
129,1,3,1,1,1,2,0,5,1,22.3583
534,1,3,0,2,1,2,0,6,1,22.3583
185,1,3,0,2,1,2,1,6,4,22.025
49,0,3,2,0,0,2,0,6,1,21.6792
8,0,3,3,1,0,4,1,6,2,21.075
25,0,3,3,1,1,4,1,6,8,21.075
375,0,3,3,1,1,4,1,6,3,21.075
568,0,3,0,4,1,4,1,6,29,21.075
42,0,2,1,0,1,1,1,6,27,21
118,0,2,1,0,0,1,1,6,29,21
212,1,2,0,0,1,0,1,6,35,21
406,0,2,1,0,0,1,1,6,34,21
477,0,2,1,0,0,1,1,6,34,21
727,1,2,3,0,1,3,1,6,30,21
94,0,3,1,2,0,3,1,6,26,20.575
789,1,3,1,2,0,3,1,6,1,20.575
166,1,3,0,2,0,2,1,6,9,20.525
329,1,3,1,1,1,2,1,6,31,20.525
549,0,3,1,1,0,2,1,6,33,20.525
280,1,3,1,1,1,2,1,6,35,20.25
747,0,3,1,1,0,2,1,6,16,20.25
255,0,3,0,2,1,2,1,6,41,20.2125
425,0,3,1,1,0,2,1,6,18,20.2125
452,0,3,1,0,0,1,1,6,1,19.9667
491,0,3,1,0,0,1,1,6,1,19.9667
273,1,2,0,1,1,1,1,6,41,19.5
447,1,2,0,1,1,1,1,6,13,19.5
449,1,3,2,1,1,3,0,6,5,19.2583
470,1,3,2,1,1,3,0,6,1,19.2583
645,1,3,2,1,1,3,0,6,1,19.2583
859,1,3,0,3,1,3,0,6,24,19.2583
208,1,3,0,0,0,0,0,6,26,18.7875
732,0,3,0,0,0,0,0,6,11,18.7875
408,1,2,1,1,0,2,1,6,3,18.75
438,1,2,2,3,1,5,1,6,24,18.75
832,1,2,1,1,0,2,1,6,1,18.75
19,0,3,1,0,1,1,1,6,31,18
39,0,3,2,0,1,2,1,6,18,18
334,0,3,2,0,0,2,1,6,16,18
50,0,3,1,0,1,1,1,6,18,17.8
354,0,3,1,0,0,1,1,6,25,17.8
560,1,3,1,0,1,1,1,6,36,17.4
11,1,3,1,1,1,2,1,6,4,16.7
395,1,3,0,2,1,2,1,6,24,16.7
161,0,3,0,1,0,1,1,6,44,16.1
254,0,3,1,0,0,1,1,6,30,16.1
348,1,3,1,0,1,1,1,6,1,16.1
432,1,3,1,0,1,1,1,6,1,16.1
618,0,3,1,0,1,1,1,6,26,16.1
625,0,3,0,0,0,0,1,6,21,16.1
640,0,3,1,0,0,1,1,6,1,16.1
736,0,3,0,0,0,0,1,6,28.5,16.1
744,0,3,1,0,0,1,1,6,24,16.1
16,1,2,0,0,1,0,1,6,55,16
349,1,3,1,1,0,2,1,6,3,15.9
490,1,3,1,1,0,2,1,6,9,15.9
86,1,3,3,0,1,3,1,6,33,15.85
143,1,3,1,0,1,1,1,6,24,15.85
207,0,3,1,0,0,1,1,6,32,15.85
404,0,3,1,0,0,1,1,6,28,15.85
162,1,2,0,0,1,0,1,6,40,15.75
382,1,3,0,2,1,2,0,6,1,15.7417
623,1,3,1,1,0,2,0,6,20,15.7417
606,0,3,1,0,0,1,1,6,36,15.55
47,0,3,1,0,0,1,2,6,1,15.5
187,1,3,1,0,1,1,2,6,1,15.5
189,0,3,1,1,0,2,2,6,40,15.5
242,1,3,1,0,1,1,2,6,1,15.5
365,0,3,1,0,0,1,2,6,1,15.5
613,1,3,1,0,1,1,2,6,1,15.5
658,0,3,1,1,1,2,2,6,32,15.5
719,0,3,0,0,0,0,2,6,1,15.5
66,1,3,1,1,0,2,0,6,1,15.2458
141,0,3,0,2,1,2,0,6,1,15.2458
256,1,3,0,2,1,2,0,6,29,15.2458
710,1,3,1,1,0,2,0,6,1,15.2458
853,0,3,1,1,1,2,0,6,9,15.2458
498,0,3,0,0,0,0,1,6,1,15.1
182,0,2,0,0,0,0,0,6,1,15.05
136,0,2,0,0,0,0,0,6,23,15.0458
587,0,2,0,0,0,0,1,6,47,15
133,0,3,1,0,1,1,1,6,47,14.5
154,0,3,0,2,0,2,1,6,40.5,14.5
248,1,2,0,2,1,2,1,6,24,14.5
539,0,3,0,0,0,0,1,6,1,14.5
576,0,3,0,0,0,0,1,6,19,14.5
756,1,2,1,1,0,2,1,6,1,14.5
761,0,3,0,0,0,0,1,6,1,14.5
115,0,3,0,0,1,0,0,6,17,14.4583
496,0,3,0,0,0,0,0,6,1,14.4583
579,0,3,1,0,1,1,0,6,1,14.4583
74,0,3,1,0,0,1,0,6,26,14.4542
112,0,3,1,0,1,1,0,6,14.5,14.4542
241,0,3,1,0,1,1,0,6,1,14.4542
363,0,3,0,1,1,1,0,6,45,14.4542
621,0,3,1,0,0,1,0,6,27,14.4542
703,0,3,0,1,1,1,0,6,18,14.4542
831,1,3,1,0,1,1,0,6,15,14.4542
424,0,3,1,1,1,2,1,6,28,14.4
617,0,3,1,1,0,2,1,6,34,14.4
861,0,3,2,0,0,2,1,6,41,14.1083
318,0,2,0,0,0,0,1,6,54,14
548,1,2,0,0,0,0,0,6,1,13.8625
867,1,2,1,0,1,1,0,6,27,13.8583
474,1,2,0,0,1,0,0,3,23,13.7917
233,0,2,0,0,0,0,1,6,59,13.5
563,0,2,0,0,0,0,1,6,28,13.5
696,0,2,0,0,0,0,1,6,52,13.5
707,1,2,0,0,1,0,1,6,45,13.5
692,1,3,0,1,1,1,0,6,4,13.4167
18,1,2,0,0,0,0,1,6,1,13
22,1,2,0,0,0,0,1,3,34,13
124,1,2,0,0,1,0,1,4,32.5,13
135,0,2,0,0,0,0,1,6,25,13
150,0,2,0,0,0,0,1,6,42,13
179,0,2,0,0,0,0,1,6,30,13
191,1,2,0,0,1,0,1,6,32,13
192,0,2,0,0,0,0,1,6,19,13
200,0,2,0,0,1,0,1,6,24,13
214,0,2,0,0,0,0,1,6,30,13
222,0,2,0,0,0,0,1,6,27,13
229,0,2,0,0,0,0,1,6,18,13
289,1,2,0,0,0,0,1,6,42,13
328,1,2,0,0,1,0,1,3,36,13
343,0,2,0,0,0,0,1,6,28,13
344,0,2,0,0,0,0,1,6,25,13
345,0,2,0,0,0,0,1,6,36,13
346,1,2,0,0,1,0,1,5,24,13
347,1,2,0,0,1,0,1,6,40,13
358,0,2,0,0,1,0,1,6,38,13
388,1,2,0,0,1,0,1,6,36,13
418,1,2,0,2,1,2,1,6,18,13
419,0,2,0,0,0,0,1,6,30,13
444,1,2,0,0,1,0,1,6,28,13
464,0,2,0,0,0,0,1,6,48,13
577,1,2,0,0,1,0,1,6,34,13
636,1,2,0,0,1,0,1,6,28,13
659,0,2,0,0,0,0,1,6,23,13
667,0,2,0,0,0,0,1,6,25,13
674,1,2,0,0,0,0,1,6,31,13
715,0,2,0,0,0,0,1,6,52,13
723,0,2,0,0,0,0,1,6,34,13
724,0,2,0,0,0,0,1,6,50,13
734,0,2,0,0,0,0,1,6,23,13
735,0,2,0,0,0,0,1,6,23,13
748,1,2,0,0,1,0,1,6,30,13
796,0,2,0,0,0,0,1,6,39,13
801,0,2,0,0,0,0,1,6,34,13
809,0,2,0,0,0,0,1,6,39,13
865,0,2,0,0,0,0,1,6,24,13
866,1,2,0,0,1,0,1,6,42,13
887,0,2,0,0,0,0,1,6,27,13
293,0,2,0,0,0,0,0,3,36,12.875
400,1,2,0,0,1,0,1,6,28,12.65
151,0,2,0,0,0,0,1,6,51,12.525
80,1,3,0,0,1,0,1,6,30,12.475
752,1,3,0,1,0,1,1,4,6,12.475
778,1,3,0,0,1,0,1,6,5,12.475
824,1,3,0,1,1,1,1,4,27,12.475
304,1,2,0,0,1,0,2,4,1,12.35
323,1,2,0,0,1,0,2,6,30,12.35
627,0,2,0,0,0,0,2,6,57,12.35
480,1,3,0,1,1,1,1,6,2,12.2875
240,0,2,0,0,0,0,1,6,33,12.275
390,1,2,0,0,1,0,0,6,17,12
145,0,2,0,0,0,0,1,6,18,11.5
530,0,2,2,1,0,3,1,6,23,11.5
758,0,2,0,0,0,0,1,6,18,11.5
862,0,2,1,0,0,1,1,6,21,11.5
40,1,3,1,0,1,1,0,6,14,11.2417
126,1,3,1,0,0,1,0,6,12,11.2417
9,1,3,0,2,1,2,1,6,27,11.1333
173,1,3,1,1,1,2,1,6,1,11.1333
870,1,3,1,1,0,2,1,6,4,11.1333
883,0,3,0,0,1,0,1,6,22,10.5167
34,0,2,0,0,0,0,1,6,66,10.5
57,1,2,0,0,1,0,1,6,21,10.5
67,1,2,0,0,1,0,1,5,29,10.5
71,0,2,0,0,0,0,1,6,32,10.5
85,1,2,0,0,1,0,1,6,17,10.5
220,0,2,0,0,0,0,1,6,30,10.5
227,1,2,0,0,0,0,1,6,19,10.5
235,0,2,0,0,0,0,1,6,24,10.5
239,0,2,0,0,0,0,1,6,19,10.5
243,0,2,0,0,0,0,1,6,29,10.5
266,0,2,0,0,0,0,1,6,36,10.5
399,0,2,0,0,0,0,1,6,23,10.5
440,0,2,0,0,0,0,1,6,31,10.5
459,1,2,0,0,1,0,1,6,50,10.5
517,1,2,0,0,1,0,1,5,34,10.5
527,1,2,0,0,1,0,1,6,50,10.5
571,1,2,0,0,0,0,1,6,62,10.5
620,0,2,0,0,0,0,1,6,26,10.5
673,0,2,0,0,0,0,1,6,70,10.5
718,1,2,0,0,1,0,1,4,27,10.5
773,0,2,0,0,1,0,1,4,57,10.5
813,0,2,0,0,0,0,1,6,35,10.5
842,0,2,0,0,0,0,1,6,16,10.5
884,0,2,0,0,0,0,1,6,28,10.5
206,0,3,0,1,1,1,1,6,2,10.4625
252,0,3,1,1,1,2,1,6,29,10.4625
688,0,3,0,0,0,0,1,6,19,10.1708
877,0,3,0,0,0,0,1,6,20,9.8458
678,1,3,0,0,1,0,1,6,18,9.8417
475,0,3,0,0,1,0,1,6,22,9.8375
114,0,3,1,0,1,1,1,6,20,9.825
403,0,3,1,0,1,1,1,6,21,9.825
484,1,3,0,0,1,0,1,6,63,9.5875
504,0,3,0,0,1,0,1,6,37,9.5875
82,1,3,0,0,0,0,1,6,29,9.5
201,0,3,0,0,0,0,1,6,28,9.5
283,0,3,0,0,0,0,1,6,16,9.5
287,1,3,0,0,0,0,1,6,30,9.5
356,0,3,0,0,0,0,1,6,28,9.5
442,0,3,0,0,0,0,1,6,20,9.5
753,0,3,0,0,0,0,1,6,33,9.5
771,0,3,0,0,0,0,1,6,24,9.5
869,0,3,0,0,0,0,1,6,1,9.5
714,0,3,0,0,0,0,1,6,29,9.4833
41,0,3,1,0,1,1,1,6,40,9.475
226,0,3,0,0,0,0,1,6,22,9.35
856,1,3,0,1,1,1,1,6,18,9.35
351,0,3,0,0,0,0,1,6,23,9.225
683,0,3,0,0,0,0,1,6,20,9.225
139,0,3,0,0,0,0,1,6,16,9.2167
81,0,3,0,0,0,0,1,6,22,9
874,0,3,0,0,0,0,1,6,47,9
294,0,3,0,0,1,0,1,6,24,8.85
585,0,3,0,0,0,0,0,6,1,8.7125
798,1,3,0,0,1,0,1,6,31,8.6833
